Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1417,1802,1789.379,21,38.03372383117676,44.04091835021973
10,1703,2954,2029.246,124,1101,2678,1860.1,4,330.77001571655273,389.93334770202637
15,1865,3569,2542.139,2,1546,3908,2396.833,1,1182.2524070739746,1575.808048248291
20,3139,5021,3981.246,1,2824,5436,3950.189,1,3542.7756309509277,4487.610578536987
25,2684,5585,4161.414,1,2784,5807,4258.682,1,8110.416650772095,9888.967037200928
30,3121,6372,4584.919,1,3036,6566,4666.731,1,18058.595418930054,21240.87381362915
35,3269,6662,4758.601,1,3383,6611,4871.537,1,30770.3537940979,36047.937870025635
40,3427,6740,4824.324,1,3325,6632,5004.03,1,52757.816791534424,59813.69924545288
45,4379,7446,5841.443,1,4308,8129,5994.481,1,76398.7467288971,86083.18495750427
50,4411,8025,6245.711,1,4808,8415,6424.226,1,118272.72033691406,130258.95023345947
