Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,30.025720596313477,66.37716293334961
10,1703,2872,2015.476,129,1703,2765,1936.984,208,283.25748443603516,473.4303951263428
15,1801,3486,2541.845,1,1801,3328,2407.171,5,1194.56148147583,1760.127067565918
20,3124,5237,3952.685,1,2957,5129,3829.894,1,3517.65513420105,5099.801778793335
25,2816,5474,4162.713,1,2888,5326,3996.312,1,8272.518157958984,11418.224334716797
30,3226,6334,4589.368,1,2968,6029,4349.124,1,16861.51123046875,22624.318838119507
35,3228,6321,4745.007,1,3225,5998,4552.15,1,30879.97794151306,40072.27635383606
40,3107,6582,4827.542,1,3255,6693,4641.764,1,53685.23859977722,67188.91930580139
45,4278,7313,5849.554,1,3982,7265,5619.783,1,83459.26666259766,103293.68162155151
50,4522,8275,6298.24,1,4635,7549,6052.304,1,126099.88379478455,153847.83792495728
