Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,670.6092357635498
10,1703,3040,2099.88,75,1643.4924602508545
15,1937,3914,2928.201,1,3442.1260356903076
20,3415,6583,4852.81,1,6738.162040710449
25,4026,7796,5932.41,1,10577.699422836304
30,4935,9486,7407.446,1,15440.981388092041
35,6065,11421,8414.697,1,22870.790004730225
40,6712,12281,9677.05,1,48450.005531311035
45,8356,14495,11587.017,1,60326.52187347412
50,9420,16067,12859.282,1,72703.15217971802
