Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,2145,1804.744,992,109.0996265411377
10,1703,4227,2883.706,5,280.75504302978516
15,2706,6275,4361.24,1,680.6299686431885
20,4317,9505,7171.75,1,1126.020908355713
25,6143,12690,9261.149,1,1976.6554832458496
30,8043,15314,11513.317,1,2398.6740112304688
35,9656,17341,13487.297,1,3517.219066619873
40,11242,20078,15581.784,1,7222.038507461548
45,12546,22882,18171.924,1,8948.29773902893
50,15244,25638,20031.247,1,10577.77452468872
