Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,2331,1803.058,998,156.141996383667
10,1703,3731,2653.736,10,368.9134120941162
15,2421,5494,4009.17,1,719.1321849822998
20,4040,10091,6628.738,1,1384.120225906372
25,5641,11464,8570.131,1,2176.0499477386475
30,7426,13972,10690.706,1,3270.9226608276367
35,8511,16161,12533.79,1,4596.834182739258
40,9977,19174,14401.426,1,8771.151542663574
45,11726,21522,16983.549,1,11225.842952728271
50,13706,24665,18809.864,1,13939.30721282959
