Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,10574.402332305908
10,1703,2954,2053.921,96,25546.005725860596
15,1801,3650,2582.883,1,56295.58205604553
20,3114,5253,4052.744,1,102638.1528377533
25,3079,5702,4276.473,1,161179.3029308319
30,3069,6402,4692.303,1,239711.5454673767
35,3583,6725,4985.223,1,333956.30621910095
40,3805,6800,5223.621,1,653558.1459999084
45,4946,7974,6418.952,1,860543.4670448303
50,5329,9207,7088.798,1,1039511.8441581726
