Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,37.08362579345703,30.977487564086914
10,1703,2954,2016.062,123,1703,2884,2025.338,132,298.28405380249023,290.2538776397705
15,1865,3542,2525.359,1,1908,3321,2534.415,2,1208.071231842041,1224.0962982177734
20,3111,5014,3984.977,1,3075,5164,3970.22,1,3543.3313846588135,3546.0867881774902
25,2986,5554,4176.649,1,3033,5348,4162.193,1,8380.075693130493,8227.486371994019
30,3243,6249,4585.183,1,3197,6179,4609.383,1,16515.3386592865,16540.93289375305
35,3245,6340,4716.396,1,3474,6328,4759.68,1,30171.809673309326,30190.825939178467
40,3490,6425,4862.561,1,3325,7144,4858.627,1,52406.954288482666,52330.10411262512
45,4339,7561,5837.095,1,4342,7422,5841.15,1,81602.77056694031,81562.78681755066
50,4894,8248,6289.974,1,4807,8206,6294.268,1,125415.58146476746,124932.97934532166
