Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor distancia,Mejor distancia (mejorada),Peor distancia (mejorada),Distancia Media (mejorada),Frec. mejor distancia (mejorada),Tiempo medio,Tiempo medio (mejorado)
5,1802,1802,1802.0,1000,1802,1802,1802.0,1000,26.2296199798584,60.1191520690918
10,1703,2954,2010.687,133,1703,2620,1924.048,174,304.78477478027344,466.3815498352051
15,1801,3424,2532.626,3,1801,3201,2408.599,5,1259.6604824066162,1896.6193199157715
20,3133,5085,3973.712,1,2993,4792,3801.264,1,3533.8525772094727,5179.656028747559
25,2864,5463,4179.356,1,2890,5306,3950.006,1,8530.854940414429,12023.202419281006
30,3486,6014,4565.806,1,2919,5566,4340.175,1,16706.537008285522,22127.11262702942
35,3357,6326,4743.148,1,3126,5917,4521.067,1,30334.917545318604,39955.09886741638
40,3456,6595,4843.464,1,3292,6055,4617.244,1,54542.25158691406,70008.15224647522
45,4238,7706,5863.398,1,4128,7269,5592.719,1,83797.06144332886,105265.24782180786
50,4655,8055,6255.284,1,4548,7402,6006.796,1,129099.95651245117,159267.5266265869
