Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,761.6443634033203
10,1703,2884,2083.838,92,1802.26469039917
15,1908,4024,2874.473,1,4054.6836853027344
20,3550,6039,4786.35,1,7464.741945266724
25,3943,7919,5822.169,1,11710.150003433228
30,5150,9636,7209.301,1,17258.023500442505
35,5920,10833,8148.778,1,23957.895278930664
40,6532,11900,9378.116,1,44484.20763015747
45,8034,14134,11253.72,1,59269.845962524414
50,9569,15413,12426.892,1,74038.29097747803
