Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,3056,1830.92,936,74.0671157836914
10,1868,4993,3191.201,1,169.15392875671387
15,2597,7180,4814.626,1,386.3506317138672
20,5032,10469,7785.741,1,716.6504859924316
25,7142,14058,10200.094,1,977.8890609741211
30,8961,16337,12501.668,1,1485.3484630584717
35,10264,19011,14741.09,1,2107.4154376983643
40,12985,22133,16919.496,1,4161.560535430908
45,14599,24630,19528.04,1,5297.3175048828125
50,16400,28283,21498.998,1,6673.25758934021
