Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,860.8729839324951
10,1703,2954,2078.816,87,2233.23392868042
15,1922,3975,2860.25,1,4966.379880905151
20,3255,6100,4714.461,1,9108.75654220581
25,4032,7420,5715.362,1,14058.29906463623
30,4998,9278,7047.948,1,19984.867572784424
35,5699,10125,7973.551,1,27122.738122940063
40,6560,11821,9105.459,1,51716.288566589355
45,8325,13544,10947.643,1,67517.69804954529
50,8620,15491,12191.116,1,81528.165102005
