Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,20711.835145950317
10,1703,2884,2037.536,95,48803.24912071228
15,1801,3469,2563.823,1,86111.38081550598
20,3137,5191,4101.512,1,109589.87236022949
25,3200,6030,4640.198,1,94900.12407302856
30,3114,7459,5555.607,1,92826.32827758789
35,3936,7832,6214.936,1,95759.3002319336
40,4358,8987,7030.743,1,150039.74652290344
45,5852,10825,8543.641,1,178200.48761367798
50,6558,11681,9515.688,1,219482.47170448303
