Nodos,Mejor Distancia,Peor Distancia,Distancia Media,Frec. mejor frecuencia,Tiempo Medio
5,1802,1802,1802.0,1000,20635.69188117981
10,1703,2954,2043.448,96,35218.02473068237
15,1865,3469,2615.178,2,28133.11195373535
20,3151,5306,4190.223,1,24798.467874526978
25,3368,6158,4762.819,1,35256.76131248474
30,3797,7596,5679.393,1,51163.62118721008
35,4440,8068,6327.59,1,71059.17549133301
40,5109,9143,7080.141,1,130031.15129470825
45,6401,10600,8630.94,1,171641.00694656372
50,7158,11766,9522.02,1,212403.78618240356
